rank,market,region,tf,direction,factors,bt_n,bt_wr,bt_net_pct,bt_avg_per_trade_pct,bt_recent_n,bt_recent_wr,bt_recent_net_pct,live_n,live_wins,live_losses,live_pnl,live_open,verdict
2,IBB,US,SWING_1d,LONG,EMA9<EMA50+Price>SMA20,14.0,50.0,3.3,0.236,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
3,IBB,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,25.0,52.0,19.33,0.773,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
4,IBB,US,SWING_1d,LONG,EMA9<EMA50+RSI>50,15.0,46.7,2.48,0.166,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
5,IBB,US,SWING_1d,LONG,EMA9<EMA50+Price>EMA50,12.0,50.0,2.54,0.212,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
1,Russell1000,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,16.0,93.8,38.42,2.401,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
2,Russell1000,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,13.0,92.3,27.41,2.108,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
3,Russell1000,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,13.0,92.3,27.41,2.108,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
4,Russell1000,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,11.0,90.9,19.45,1.768,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
5,Russell1000,US,SWING_1d,LONG,Price>EMA50+SMA20<SMA50,11.0,90.9,19.45,1.768,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
1,IWM,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,13.0,92.3,39.15,3.012,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
2,IWM,US,SWING_1d,LONG,Price>SMA50+SMA20<SMA50,9.0,88.9,23.23,2.581,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
3,IWM,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,14.0,92.9,43.13,3.081,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
4,IWM,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,13.0,92.3,39.15,3.012,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
5,IWM,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,12.0,91.7,35.17,2.931,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
8,IWM,US,INTRADAY_1h,SHORT,Price>SMA20+Range>1.5%,6.0,33.3,0.02,0.004,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
35,IWM,US,INTRADAY_1h,LONG,Price<SMA20+Price>SMA50+EMA9<EMA20,17.0,82.4,10.55,0.621,1.0,0.0,-0.24,,,,,0,NOT-TRADED-LIVE
1,LINK,CRYPTO,INTRADAY_1h,SHORT,Price>SMA20+RSI<45,15.0,66.7,3.76,0.251,3.0,66.7,2.49,,,,,0,NOT-TRADED-LIVE
1,SP100,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,29.0,75.9,47.32,1.632,2.0,100.0,7.96,,,,,0,NOT-TRADED-LIVE
2,SP100,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,25.0,68.0,25.52,1.021,1.0,100.0,3.98,,,,,0,NOT-TRADED-LIVE
3,SP100,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,27.0,63.0,23.48,0.869,1.0,100.0,3.98,,,,,0,NOT-TRADED-LIVE
5,SP100,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,24.0,66.7,21.54,0.897,1.0,100.0,3.98,,,,,0,NOT-TRADED-LIVE
10,QQQ,US,INTRADAY_1h,LONG,Price<SMA50+EMA9>EMA20+EMA20<EMA50,16.0,50.0,3.3,0.206,5.0,100.0,4.93,,,,,0,NOT-TRADED-LIVE
26,QQQ,US,INTRADAY_1h,LONG,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,9.0,55.6,2.34,0.26,2.0,100.0,1.65,,,,,0,NOT-TRADED-LIVE
28,QQQ,US,INTRADAY_1h,LONG,Price>SMA50+EMA9<EMA20+Close<Open,9.0,55.6,1.05,0.117,1.0,100.0,1.22,,,,,0,NOT-TRADED-LIVE
38,QQQ,US,SWING_1d,LONG,Price>SMA50+2Red,14.0,50.0,8.78,0.627,4.0,0.0,-5.57,,,,,0,NOT-TRADED-LIVE
54,QQQ,US,SWING_1d,LONG,Price>SMA50+EMA9<EMA20+EMA20>EMA50,3.0,33.3,-0.06,-0.02,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
58,QQQ,US,SWING_1d,LONG,Price>SMA50+EMA9<EMA20+Close>Open,2.0,0.0,-4.04,-2.02,1.0,0.0,-2.02,,,,,0,NOT-TRADED-LIVE
63,QQQ,US,SWING_1d,LONG,EMA9>EMA20+Close>Open+2Red,3.0,66.7,4.38,1.459,1.0,100.0,2.42,,,,,0,NOT-TRADED-LIVE
64,QQQ,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,24.0,66.7,32.67,1.361,13.0,38.5,-3.12,,,,,0,NOT-TRADED-LIVE
65,QQQ,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,26.0,69.2,39.99,1.538,12.0,50.0,4.27,,,,,0,NOT-TRADED-LIVE
66,QQQ,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,23.0,60.9,23.69,1.03,14.0,35.7,-4.13,,,,,1,NOT-TRADED-LIVE
67,QQQ,US,SWING_1d,LONG,2Red+EMA20>EMA50+Price>SMA50,14.0,50.0,8.78,0.627,4.0,0.0,-5.57,,,,,0,NOT-TRADED-LIVE
1,SOL,CRYPTO,INTRADAY_1h,SHORT,EMA9>EMA20+Price>SMA20+RSI<50,33.0,54.5,3.84,0.116,4.0,25.0,-4.89,,,,,0,NOT-TRADED-LIVE
33,SPY,US,INTRADAY_1h,LONG,Price>SMA50+EMA9>EMA20+EMA20<EMA50+Close<Open,7.0,85.7,6.78,0.969,4.0,100.0,4.95,,,,,0,NOT-TRADED-LIVE
37,SPY,US,INTRADAY_1h,LONG,Price>SMA50+EMA9<EMA20+EMA20>EMA50+Close>Open,23.0,43.5,-3.37,-0.147,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
51,SPY,US,SWING_1d,LONG,Price>SMA20+Price>SMA50+EMA20<EMA50,6.0,100.0,16.91,2.819,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
68,SPY,US,SWING_1d,LONG,Price>SMA50+EMA20<EMA50+Close>Open,4.0,100.0,9.41,2.353,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
69,SPY,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,16.0,100.0,39.62,2.477,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
70,SPY,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,13.0,100.0,28.32,2.178,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
71,SPY,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,13.0,100.0,28.32,2.178,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
72,SPY,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,11.0,100.0,20.36,1.851,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
73,SPY,US,SWING_1d,LONG,Price>EMA50+SMA20<SMA50,11.0,100.0,20.36,1.851,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
2,TRX,CRYPTO,SWING_1d,LONG,Price>SMA50+Range<1%,40.0,82.5,32.9,0.823,15.0,86.7,15.29,,,,,0,NOT-TRADED-LIVE
3,TRX,CRYPTO,SWING_1d,LONG,EMA9>EMA20+Range<1%,40.0,80.0,29.71,0.743,13.0,84.6,13.35,,,,,0,NOT-TRADED-LIVE
4,TRX,CRYPTO,SWING_1d,LONG,EMA9>EMA20+Price>EMA50+Range<1%,33.0,75.8,22.76,0.69,9.0,77.8,9.33,,,,,0,NOT-TRADED-LIVE
5,TRX,CRYPTO,SWING_1d,LONG,EMA9>EMA50+Range<1%,29.0,82.8,26.73,0.922,8.0,75.0,7.96,,,,,0,NOT-TRADED-LIVE
1,XLB,US,SWING_1d,LONG,EMA20<EMA50+EMA9>EMA20,1.0,0.0,-2.02,-2.02,1.0,0.0,-2.02,,,,,0,NOT-TRADED-LIVE
3,XLB,US,SWING_1d,LONG,EMA9>EMA20+Price>EMA20+Range<1%,10.0,40.0,-3.42,-0.342,3.0,66.7,4.29,,,,,0,NOT-TRADED-LIVE
4,XLB,US,SWING_1d,LONG,EMA9<EMA50+Price>EMA50,9.0,55.6,5.89,0.655,1.0,0.0,-2.02,,,,,0,NOT-TRADED-LIVE
5,XLB,US,SWING_1d,LONG,EMA9>EMA20+Range<1%,10.0,40.0,-3.42,-0.342,3.0,66.7,4.29,,,,,0,NOT-TRADED-LIVE
2,XLC,US,SWING_1d,LONG,Price>EMA20+Range<1%,12.0,8.3,-14.69,-1.224,1.0,0.0,-2.02,,,,,0,NOT-TRADED-LIVE
3,XLC,US,SWING_1d,LONG,Price>EMA9+Range<1%,12.0,25.0,-7.4,-0.616,1.0,0.0,-2.02,,,,,0,NOT-TRADED-LIVE
4,XLC,US,SWING_1d,LONG,Price>SMA20+Range<1%,13.0,15.4,-14.59,-1.123,2.0,50.0,-0.37,,,,,0,NOT-TRADED-LIVE
55,XLC_Comm,US,SWING_1d,LONG,Price>SMA20+Price<SMA50+EMA9<EMA20,9.0,66.7,12.69,1.41,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
1,XLE,US,SWING_1d,LONG,Price>EMA9+Range<1%,1.0,0.0,-0.92,-0.915,1.0,0.0,-0.92,,,,,0,NOT-TRADED-LIVE
2,XLE,US,SWING_1d,LONG,Price>EMA20+Range<1%,1.0,0.0,-0.92,-0.915,1.0,0.0,-0.92,,,,,0,NOT-TRADED-LIVE
4,XLE,US,SWING_1d,LONG,Price>SMA50+Range<1%,1.0,0.0,-0.92,-0.915,1.0,0.0,-0.92,,,,,0,NOT-TRADED-LIVE
5,XLE,US,SWING_1d,LONG,Close>Open+Range<1%,2.0,0.0,-2.94,-1.468,1.0,0.0,-0.92,,,,,0,NOT-TRADED-LIVE
1,XLF,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,15.0,66.7,19.63,1.308,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
2,XLF,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,16.0,68.8,23.61,1.475,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
3,XLF,US,SWING_1d,LONG,Price>EMA50+SMA20<SMA50,10.0,50.0,0.16,0.016,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
4,XLF,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,13.0,61.5,11.67,0.897,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
5,XLF,US,SWING_1d,LONG,Price>SMA50+SMA20<SMA50,10.0,50.0,0.16,0.016,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
29,XLF_Fin,US,INTRADAY_1h,SHORT,Price<SMA50+EMA9>EMA20+EMA20<EMA50+2Red,12.0,58.3,0.01,0.001,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
39,XLF_Fin,US,INTRADAY_1h,SHORT,RSI>65+Price>SMA20+2Red,15.0,40.0,-2.96,-0.197,1.0,0.0,-0.28,,,,,0,NOT-TRADED-LIVE
40,XLF_Fin,US,INTRADAY_1h,SHORT,RSI>65+EMA9>EMA20+2Red,15.0,40.0,-2.96,-0.197,1.0,0.0,-0.28,,,,,0,NOT-TRADED-LIVE
