tf,market,rank,direction,factors,proxy,proxy_region,n_full,wr_full,net_full,n_150d,wr_150d,net_150d,net_30d,verdict
SWING_1d,NYSE_Comp,4,LONG,Price>EMA20+SMA20<SMA50,VTI,US,196.0,61.2,107.57,13.0,92.3,27.71,0.0,PASS
SWING_1d,PHLX_Semi,44,LONG,2Red+Price>SMA50,SOXX,US,126.0,50.8,101.06,6.0,83.3,17.88,0.0,PASS
SWING_1d,PHLX_Semi,45,LONG,2Red+EMA20>EMA50+Price>SMA50,SOXX,US,119.0,52.9,109.2,6.0,83.3,17.88,0.0,PASS
SWING_1d,NYSE_Comp,5,LONG,Price>EMA9+SMA20<SMA50,VTI,US,243.0,58.4,115.62,16.0,93.8,38.91,0.0,PASS
SWING_1d,PHLX_Semi,46,LONG,Price>EMA20+SMA20<SMA50,SOXX,US,208.0,43.8,89.25,16.0,56.2,21.68,-4.16,WEAK
SWING_1d,PHLX_Semi,47,LONG,Price>SMA50+SMA20<SMA50,SOXX,US,112.0,50.0,89.92,6.0,100.0,23.88,0.0,PASS
SWING_1d,Nasdaq100,60,LONG,Price>EMA20+SMA20<SMA50,QQQ,US,188.0,53.2,90.81,24.0,66.7,33.24,-2.54,PASS
SWING_1d,SP500,51,LONG,RSI>50+SMA20<SMA50,SPY,US,177.0,63.8,106.6,11.0,100.0,20.36,0.0,PASS
SWING_1d,Dow_Trans,1,LONG,EMA20<EMA50+Price>SMA20,,,,,,,,,,FAIL-no-proxy
SWING_1d,SP500,52,LONG,Price>SMA50+SMA20<SMA50,SPY,US,134.0,67.9,96.74,11.0,100.0,20.36,0.0,PASS
SWING_1d,Nasdaq100,61,LONG,Price>EMA9+SMA20<SMA50,QQQ,US,224.0,50.4,92.21,26.0,69.2,39.99,4.27,PASS
SWING_1d,Nasdaq100,62,LONG,RSI>50+SMA20<SMA50,QQQ,US,172.0,54.1,88.07,23.0,60.9,24.84,-2.99,PASS
SWING_1d,Nasdaq100,63,LONG,2Red+EMA20>EMA50+Price>SMA50,QQQ,US,130.0,56.9,80.13,14.0,50.0,9.35,-5.0,PASS
SWING_1d,Nasdaq100,64,LONG,Price>SMA50+SMA20<SMA50,QQQ,US,129.0,55.0,73.13,20.0,60.0,18.88,-8.94,PASS
SWING_1d,Dow_Trans,2,LONG,Price>SMA20+SMA20<SMA50,,,,,,,,,,FAIL-no-proxy
SWING_1d,Dow_Trans,3,LONG,EMA20<EMA50+Price>EMA20,,,,,,,,,,FAIL-no-proxy
SWING_1d,Dow_Trans,4,LONG,EMA20<EMA50+Range<1%,,,,,,,,,,FAIL-no-proxy
SWING_1d,Dow_Trans,5,LONG,Range<1%+SMA20<EMA20,,,,,,,,,,FAIL-no-proxy
SWING_1d,SP400,1,LONG,EMA20<EMA50+Price>EMA50,IJH,US,81.0,66.7,58.38,4.0,100.0,10.26,0.0,PASS
SWING_1d,SP400,2,LONG,EMA20<EMA50+Price>SMA50,IJH,US,73.0,67.1,48.6,3.0,100.0,6.28,0.0,PASS
SWING_1d,SP400,3,LONG,Price>SMA50+SMA20<SMA50,IJH,US,150.0,56.7,42.21,10.0,70.0,11.18,0.0,PASS
SWING_1d,SP400,4,LONG,EMA20<EMA50+EMA9>EMA20,IJH,US,79.0,63.3,50.97,3.0,100.0,6.28,0.0,PASS
SWING_1d,SP400,5,LONG,EMA20<EMA50+Price>EMA20,IJH,US,147.0,55.1,54.34,7.0,100.0,22.2,0.0,PASS
SWING_1d,KBW,1,LONG,EMA9<EMA50+Price>EMA20,KBE,US,129.0,47.3,43.59,6.0,83.3,14.92,0.0,PASS
SWING_1d,Dow_Util,1,LONG,EMA9<EMA50+Price>EMA20,XLU,US,151.0,45.7,10.8,9.0,66.7,3.08,0.0,PASS
SWING_1d,KBW,2,LONG,EMA9<EMA50+Price>SMA20,KBE,US,155.0,43.2,21.46,6.0,83.3,14.92,0.0,WEAK
SWING_1d,Dow_Util,2,LONG,EMA9<EMA50+Price>SMA20,XLU,US,173.0,49.7,49.71,10.0,70.0,6.19,0.0,PASS
SWING_1d,KBW,3,LONG,Price>EMA20+SMA20<SMA50,KBE,US,219.0,53.4,115.83,15.0,73.3,19.97,0.0,PASS
SWING_1d,Dow_Util,3,LONG,Price>EMA20+SMA20<SMA50,XLU,US,261.0,52.5,39.54,25.0,48.0,-9.95,0.0,WEAK
SWING_1d,KBW,4,LONG,EMA9<EMA50+RSI>50,KBE,US,103.0,51.5,50.22,5.0,80.0,10.94,0.0,PASS
SWING_1d,Dow_Util,4,LONG,EMA9<EMA50+RSI>50,XLU,US,119.0,43.7,4.65,8.0,62.5,2.68,0.0,WEAK
SWING_1d,KBW,5,LONG,EMA9<EMA50+Price>EMA50,KBE,US,68.0,55.9,40.58,3.0,100.0,8.98,0.0,PASS
SWING_1d,Dow_Util,5,LONG,EMA9<EMA50+Price>EMA50,XLU,US,81.0,43.2,-5.29,3.0,66.7,-0.09,0.0,FAIL
SWING_1d,Bank Nifty,74,LONG,EMA9<EMA50+Price>EMA50,BANKBEES.NS,INDIAN,69.0,52.2,18.32,9.0,33.3,1.74,0.0,PASS
SWING_1d,Nifty 50,81,LONG,EMA9<EMA50+Price>EMA50,NIFTYBEES.NS,INDIAN,66.0,40.9,-25.3,12.0,8.3,-17.77,0.0,FAIL
SWING_1d,Sensex,78,LONG,EMA9<EMA50+Price>EMA50,,,,,,,,,,FAIL-no-proxy
SWING_1d,Bank Nifty,75,LONG,EMA9<EMA50+Price>EMA20,BANKBEES.NS,INDIAN,119.0,51.3,37.15,23.0,34.8,-5.59,0.0,WEAK
SWING_1d,Nifty 50,82,LONG,EMA9<EMA50+Price>EMA20,NIFTYBEES.NS,INDIAN,131.0,49.6,-1.43,31.0,41.9,-16.18,0.0,FAIL
SWING_1d,Sensex,79,LONG,EMA9<EMA50+Price>EMA20,,,,,,,,,,FAIL-no-proxy
SWING_1d,Bank Nifty,76,LONG,EMA9<EMA50+RSI>50,BANKBEES.NS,INDIAN,98.0,46.9,16.14,23.0,34.8,-5.59,0.0,WEAK
SWING_1d,Nifty 50,83,LONG,EMA9<EMA50+RSI>50,NIFTYBEES.NS,INDIAN,116.0,48.3,-7.15,30.0,40.0,-16.4,0.0,FAIL
SWING_1d,Sensex,80,LONG,EMA9<EMA50+RSI>50,,,,,,,,,,FAIL-no-proxy
SWING_1d,Bank Nifty,77,LONG,EMA9<EMA50+Price>SMA20,BANKBEES.NS,INDIAN,138.0,54.3,47.04,26.0,34.6,-8.53,0.0,WEAK
SWING_1d,Nifty 50,84,LONG,EMA9<EMA50+Price>SMA20,NIFTYBEES.NS,INDIAN,134.0,51.5,8.92,30.0,43.3,-14.06,0.0,WEAK
SWING_1d,Sensex,81,LONG,EMA9<EMA50+Price>SMA20,,,,,,,,,,FAIL-no-proxy
INTRADAY_1h,Nasdaq100,6,LONG,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,QQQ,US,108.0,61.1,31.93,15.0,53.3,4.32,4.93,PASS
INTRADAY_1h,SP500,9,SHORT,Price>SMA20+Price<SMA50+2Red,SPY,US,49.0,53.1,14.63,4.0,75.0,3.84,0.0,WEAK
INTRADAY_1h,SP500,16,LONG,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,SPY,US,212.0,59.4,30.64,28.0,67.9,9.15,2.3,PASS
INTRADAY_1h,SP500,17,SHORT,Price>SMA20+EMA20<EMA50+2Red,SPY,US,52.0,50.0,5.52,6.0,50.0,1.8,-2.04,WEAK
INTRADAY_1h,SP500,18,LONG,EMA9>EMA20+EMA20<EMA50+Close>Open,SPY,US,219.0,60.3,34.53,28.0,67.9,9.15,2.3,PASS
INTRADAY_1h,Nasdaq100,22,LONG,Price>SMA20+Price<SMA50+EMA9>EMA20+Close>Open,QQQ,US,63.0,57.1,16.64,9.0,55.6,2.34,1.65,WEAK
INTRADAY_1h,Nasdaq100,24,LONG,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,QQQ,US,61.0,62.3,19.82,9.0,55.6,2.34,1.65,WEAK
INTRADAY_1h,Nasdaq100,25,LONG,Close>Open+2Red,QQQ,US,59.0,57.6,5.98,7.0,42.9,-0.28,-0.33,WEAK
